,School,G,GS,MP,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,SOS,name,weight,height
0,Iowa,127.0,118.0,27.1,6.9,12.6,0.546,5.9,10.0,0.5920000000000001,0.9,2.6,0.3670000000000001,3.5,5.0,0.701,2.7,4.6,7.3,1.2,0.5,1.2,1.4,2.4,18.2,9.5,Luka Garza,265lb,6-11
1,Oral Roberts,59.0,59.0,33.1,6.5,14.5,0.448,3.3,6.5,0.508,3.2,8.0,0.399,3.1,3.5,0.875,0.4,2.3,2.7,2.6,1.2,0.2,1.6,1.9,19.3,-0.81,Max Abmas,165lb,6-1
2,LSU,29.0,29.0,34.0,7.0,17.2,0.406,4.7,10.0,0.464,2.3,7.2,0.325,6.7,7.6,0.882,0.6,2.8,3.4,1.4,0.9,0.2,1.7,1.4,23.0,9.14,Cameron Thomas,210lb,6-4
3,Gonzaga,65.0,36.0,24.3,5.6,8.8,0.6409999999999999,5.5,8.4,0.657,0.1,0.4,0.292,3.0,4.5,0.664,2.1,4.0,6.2,1.8,0.6,0.8,1.5,2.6,14.3,4.52,Drew Timme,235lb,6-10
4,Gonzaga,137.0,108.0,27.4,4.1,8.4,0.483,2.1,3.6,0.585,2.0,4.8,0.408,1.5,1.8,0.8240000000000001,1.0,3.1,4.0,1.4,0.7,0.4,1.0,1.6,11.6,4.16,Corey Kispert,220lb,6-7
5,South Alabama,28.0,28.0,37.2,6.7,15.3,0.438,3.5,7.1,0.495,3.1,8.1,0.388,4.5,5.5,0.818,0.4,4.3,4.6,3.6,1.6,0.1,3.0,2.1,21.0,,Michael Flowers,189lb,6-1
6,Austin Peay,127.0,127.0,34.4,7.6,14.2,0.536,6.4,10.7,0.601,1.2,3.5,0.341,3.3,4.6,0.725,4.1,5.8,9.8,1.4,1.0,1.0,2.2,2.0,19.7,-4.82,Terry Taylor,230lb,6-5
7,Illinois,90.0,90.0,33.2,6.3,13.4,0.47,5.1,9.9,0.516,1.2,3.6,0.345,2.8,3.8,0.75,0.8,4.0,4.8,3.9,1.1,0.2,2.7,1.9,16.7,10.9,Ayo Dosunmu,200lb,6-5
8,Minnesota,60.0,60.0,36.3,5.5,14.2,0.38799999999999996,3.7,8.7,0.42200000000000004,1.9,5.6,0.336,4.5,5.9,0.754,0.9,3.8,4.7,5.7,1.1,0.1,2.5,2.6,17.4,,Marcus Carr,195lb,6-2
9,UNC Greensboro,132.0,80.0,25.6,6.3,13.3,0.474,5.8,11.3,0.514,0.5,1.9,0.241,1.8,3.2,0.5770000000000001,1.6,3.2,4.8,2.6,2.4,0.2,2.1,2.2,14.9,-2.1,Isaiah Miller,190lb,6-0
